candidate_id,game,derivative_type,market_ticker,original_label,replayed_label,process_grade,inning,proposed_side,entry_price_cents,situational_score,situational_label,market_expression_score,market_expression_grade,execution_score,conservative_net_edge_cents,paper_take_eligible_from_execution_model,funnel_stage,final_decision,failed_reason,near_miss_type,settlement_result,paper_net_pnl_cents,outcome_bucket
797,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,observe,bad_process,1,YES,29,45,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
798,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,observe,bad_process,2,YES,29,45,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
799,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,blocked,sound_process,3,YES,,56,interesting_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
800,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,observe,bad_process,3,YES,,45,interesting_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
801,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,observe,bad_process,4,YES,,50,interesting_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
802,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,observe,bad_process,2,YES,29,45,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
803,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,blocked,questionable_process,2,YES,29,56,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
804,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,blocked,sound_process,4,YES,,61,strong_read,0,weak,51,16,True,SITUATIONAL_READ,observe,weak_market_expression,,unknown,,no_outcome
805,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,blocked,questionable_process,2,YES,29,56,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
806,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,blocked,questionable_process,2,YES,29,56,interesting_read,20,weak,100,64,True,SITUATIONAL_READ,observe,weak_market_expression,,loss,-29,observe_lost
