gap_id,category,description,severity,status,required_to_unblock,affected_lanes
G01,data,Kalshi snapshot collection daily gap: collector does not run from ~04:00-16:00 UTC. Kills pregame coverage for all afternoon games.,critical,open,Fix collector schedule to run from 12:00 UTC (08:00 ET) through 03:00 UTC (23:00 ET),All lanes that require pregame Kalshi prices
G02,data,Zero overlapping dates between historical brain candidates (2023-2025) and Kalshi snapshot data (June 2026). Candidate-matched market validation is impossible until live 2026 candidates accumulate.,critical,structural — requires time,Run brain daily in 2026 + collect Kalshi snapshots + grade outcomes,Team Runs 5+ NO | Team Runs 4+ YES | Side Fade | F5 Runs 2+
G03,data,Shadow review log has only 3 rows total (June 23 only). Too small for any statistical interpretation.,high,open — accumulating,Keep running daily shadow + fill reconciliation; need 30+ rows,EV Overlay
G04,data,Team Total Suppression v1 has 0 shadow rows ever logged. Brain fires (1 on 2023-04-05) but no Kalshi ticker match is found for historical candidate dates.,high,structural — requires time,Overlapping 2026 live candidate + Kalshi [TEAM]5 ticker + pregame snapshot. Fix G01 first.,Team Runs 5+ NO
G05,validation,SBR validation only covers moneyline markets. Cannot validate team total lanes (Team Runs 5+ NO | Team Runs 4+ YES) or F5 lanes.,high,data gap — SBR has no team total odds,Need Kalshi team total prices during pregame window for historical candidates. Not available retroactively.,Team Runs 5+ NO | Team Runs 4+ YES | F5 Runs 2+
G06,validation,ML Core v1 SBR validation used SBR closing odds. Kalshi prices may differ. No historical Kalshi moneyline pricing for 2023-2025 candidates exists.,high,structural — Kalshi did not have MLB markets before June 2026,Accumulate live 2026 days. Cannot resolve retroactively.,Moneyline Core v1
G07,validation,Team Runs 5+ NO logic audit has a blank plain-English verdict section (latest_summary.md).,low,open — trivial to fix,Write verdict summarizing: real historical signal + market unvalidated + verdict Option 1,Team Runs 5+ NO
G08,bug (fixed),Kalshi orderbook parser v1 used first book level instead of best bid/ask. Old snapshots may have incorrect prices.,low,fixed,Rescrape or re-examine June 12-14 data if needed; current collection is correct,All
G09,bug (fixed),Team Runs 5+ NO Kalshi validation v1 priced all [TEAM]5 tickers without checking brain score. Invalid market survey.,medium,fixed (v2 deployed),No further action needed,Team Runs 5+ NO
G10,data,2026 calibration sample too small: 46 graded rows. Cannot confirm or challenge 2023-2025 calibration.,medium,structural — requires accumulation,Run brain daily and grade outcomes; need 500+ graded 2026 rows before 2026 calibration is meaningful,All
G11,data,full_total_avoid_score never reaches ≥ 0.40. Zero qualified candidates at production threshold.,medium,open — likely needs feature tuning,Investigate why score stays below threshold. May require retraining or threshold change.,Full Total Avoid
G12,tooling,No preflight check in EV overlay that blocks tradeable labels when snapshot coverage is poor. Currently outputs a warning but still labels candidates.,medium,open,Add preflight that refuses to output tradeable labels if < 50% of priority markets have fresh snapshots,EV Overlay
G13,data,June 15 team_total snapshot data has blank no_ask fields for some records. Affects team total validation using that date.,low,known but unquantified,Investigate and filter these records before using June 15 team total data,Team Runs 5+ NO | Team Runs 4+
G14,tooling,No CLV (closing line value) tracking. Cannot measure if brain candidates beat the closing line.,low,future work,Implement CLV comparison: entry price vs closing price at game start,All fill-validated lanes
G15,tooling,No liquidity depth analysis. Whether 5+ contracts can be filled at displayed price is unknown.,low,future work,Parse yes_bids_json/yes_asks_json depth fields from snapshot data,All
